"Subject" "Activity Label" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA"
"1" 2 5 0.265545417008646 -0.0183172473677522 -0.106925560252161 -0.545388511933513 -0.367174432290778 -0.501758908781844 0.744866177308357 -0.0829378552478386 0.0719108559394813 -0.95970135037464 -0.95072387232853 -0.924255174066282 0.0771913952907781 0.0164478862142363 -0.00910970153171758 -0.524111808294236 -0.470172494519885 -0.71696870421902 -0.0205760494812968 -0.0871369985855908 0.0856291306079251 -0.686118002377522 -0.450069496493804 -0.596464200685591 -0.0973435043951873 -0.0422166422731988 -0.0460123364238329 -0.637402776115274 -0.633757611841499 -0.663749631359942 -0.45281351595902 -0.4961040159 -0.45281351595902 -0.4961040159 -0.545047180106916 -0.515213288794352 -0.474579900874352 -0.498449472304899 -0.639023653564841 -0.651108846097983 -0.531352954716427 -0.406003025792046 -0.59586656937464 -0.552721525366571 -0.389591997341585 -0.497610988506052 -0.181631679111614 0.056431247059366 0.0576896185860519 -0.546726925922795 -0.507106711024614 -0.694897997146974 -0.543439466416052 -0.466024755985821 -0.73756326648415 -0.0514074202195965 -0.216864941613545 -0.0970236779619597 -0.622630316634294 -0.504260364012392 -0.55199202966196 -0.707873279132565 -0.429015303542075 -0.649773529250721 -0.0314150251779251 -0.0899355008567723 -0.0183312158457925 -0.477774642691354 -0.58872903320634 0.141420330373573 -0.498427589975677 -0.5410463493683 0.198139885349164 -0.533546495582709 -0.565473899014409 0.0654305233808646 -0.645035708728242 -0.684927102662824 0.198173989062219
"2" 4 4 0.272921095854305 -0.018934079055894 -0.114543959559603 -0.605428848152649 -0.427756984205298 -0.588190527674172 0.660891419271523 -0.146562009089219 0.134728209951656 -0.962930352417219 -0.958943422384106 -0.943400497533113 0.0784362136846689 0.00657964554069536 0.000193980715264901 -0.557486109448344 -0.491512843109934 -0.741717823145695 -0.0512602412788079 -0.0560483207513245 0.0872933040834437 -0.710408445564238 -0.722553292913907 -0.634145712743709 -0.0872923233390728 -0.0434098556976821 -0.0556943322327815 -0.671257565198676 -0.783247534708609 -0.674231292895695 -0.534036950674172 -0.55179565233245 -0.534036950674172 -0.55179565233245 -0.587489179773179 -0.51176995172649 -0.614110552807053 -0.680106494701987 -0.746235970596027 -0.739661304582781 -0.573519687356623 -0.43169051385202 -0.629349242422848 -0.61968469522053 -0.463442832780795 -0.59940313920596 -0.105872257931589 0.104731030526457 0.0880852735803179 -0.561311670847351 -0.50849342030596 -0.71555711318543 -0.594877025179801 -0.508879845859271 -0.766939981721854 0.0870939561375364 -0.140101137256225 -0.0931345359940397 -0.638459056083113 -0.721692755821192 -0.600918346508609 -0.73435007468543 -0.726770811291391 -0.682409118182119 -0.00672283227715232 -0.0703656476645695 0.048786715313543 -0.514081850985762 -0.645599452795033 0.192449267357285 -0.509425474262252 -0.518427655192715 0.192742414833444 -0.699358484625828 -0.724848721430464 0.0467946039134768 -0.751172982566225 -0.743819548956954 0.12467059300043
"3" 9 6 0.273314187202346 -0.0176117774875953 -0.106682606006809 -0.623299989994135 -0.479792642105279 -0.653564709469208 0.707829162404692 -0.0253874591941642 0.0486661678794721 -0.966110541143695 -0.944108480117302 -0.927613008357771 0.0698848241197067 0.0145118579236364 -0.000160313943256598 -0.635677388568915 -0.55715383002522 -0.796059579384164 -0.0251837755819648 -0.0740222017826979 0.0861353044039883 -0.699514203946334 -0.76333103516129 -0.709325691994135 -0.0990002580601173 -0.0396796130087977 -0.0525242567395894 -0.689445764589443 -0.842640693431085 -0.743224475463343 -0.563106233444545 -0.591217310980938 -0.563106233444545 -0.591217310980938 -0.650253344944282 -0.607795819185044 -0.643123589917889 -0.674253961536657 -0.784101109648094 -0.803679299354839 -0.625737960782698 -0.501701934810264 -0.699618460967742 -0.623630120595308 -0.502486655338416 -0.657377472636364 -0.193561018266569 0.0387443738826979 0.00433306862542522 -0.64607029759824 -0.582899061151877 -0.780075265102639 -0.658040743095601 -0.559788172745299 -0.810825534193548 -0.0466951862347801 -0.2362949581 -0.193789655835865 -0.642388819983871 -0.775394187741935 -0.670861116767742 -0.719518024667155 -0.758871413489736 -0.75071192058651 -0.102105994236657 -0.167147532533138 -0.0337349126226979 -0.57907580038563 -0.663070913119941 0.0770778652958651 -0.604848608307331 -0.615825904945337 0.113096883956804 -0.717086858619355 -0.704023221834018 -0.0844633436025185 -0.810237957565982 -0.809895053753666 0.0587411399879765
"4" 10 1 0.274435248880126 -0.0148902386890662 -0.108715887378549 -0.605261886555205 -0.510855853758959 -0.710959318485804 0.706568872334385 0.112664440875535 0.16433987362776 -0.962861882492114 -0.942415191429022 -0.944203621861199 0.0790775522249211 0.00388611762763407 -0.00620897054189274 -0.63205551767448 -0.584373357541009 -0.843471774921136 -0.0296990854352366 -0.0793463166776025 0.0957314240457413 -0.70162770081388 -0.798711196876972 -0.727031023880126 -0.107962482937224 -0.0395356985798107 -0.0578492968700946 -0.72407825148265 -0.902801639369085 -0.748728865416404 -0.562757828419243 -0.607830079832808 -0.562757828419243 -0.607830079832808 -0.656372189396309 -0.647402592993691 -0.657138324982965 -0.707299090671924 -0.819499123375394 -0.844482275835962 -0.628925303927445 -0.526563937003155 -0.756075024258675 -0.597558650433281 -0.535619296140095 -0.710394303690852 -0.185858714316656 0.0841591418009464 -0.0160619236507634 -0.652284832581388 -0.602046724421956 -0.825299407981073 -0.644723980855836 -0.594083544142902 -0.860634689684543 -0.00307062555041009 -0.181709735376656 -0.112650170442587 -0.642158016512934 -0.832022308044164 -0.689931834656151 -0.721965849820189 -0.783345806214511 -0.767699547697161 -0.118114371179148 -0.376064765323028 0.0252324411091483 -0.60266679651041 -0.674305122665615 0.097173833537918 -0.635151267744795 -0.666682375025237 0.160272477102397 -0.746182489246057 -0.733071326309148 -0.129139508326278 -0.839214574006309 -0.863262159274448 0.158218996868297
"5" 12 3 0.279495971062914 -0.0157917411925596 -0.106434571883113 -0.508148629802318 -0.403204892899338 -0.647389827692053 0.698109658907285 0.11191414382947 0.0920345369304209 -0.965157298874172 -0.940815765930464 -0.943279417649007 0.0843217574986755 0.00194314791258278 -0.00329341637915894 -0.576070032500993 -0.506636426689073 -0.784846217350993 -0.029338440817947 -0.0782304821754967 0.088196200747351 -0.709985470261589 -0.706059666291391 -0.607498772347682 -0.103496452610927 -0.0491675523844371 -0.0515546871943709 -0.66268548434106 -0.774735099370861 -0.564797845388079 -0.461698519409768 -0.522535203201987 -0.461698519409768 -0.522535203201987 -0.589476479741722 -0.589322698464238 -0.603325264792715 -0.66501194300298 -0.707683084039735 -0.734813893874172 -0.551650886788079 -0.440459945371192 -0.696751402549669 -0.493315613099669 -0.422717485338742 -0.650388386907285 -0.223763367293046 0.0754359306268212 0.00687334197476821 -0.604970260763245 -0.551061098499801 -0.769120565927152 -0.584148946784768 -0.491616892052252 -0.799034087218543 -0.102291703500993 -0.274289233248245 -0.164550597186093 -0.632323543511921 -0.717667554933775 -0.538284543452219 -0.735748951589404 -0.702560663112583 -0.670180484039735 -0.0386887020523179 -0.073012752391755 0.076412593017053 -0.529075084433775 -0.595179000054967 0.0788447886004305 -0.573486923203113 -0.613755207152318 0.130969463656954 -0.678312716829139 -0.716482598940397 0.0622025972001987 -0.749330627615894 -0.736333086854305 0.0309648489347351
"6" 13 2 0.272345588889231 -0.0174515306678769 -0.115964207606154 -0.505118455748985 -0.368598027983415 -0.672615623879015 0.688686085907692 0.0163368318107692 0.0465035999214154 -0.958954580769231 -0.9510709852 -0.938042821015385 0.0814789810280923 0.000489334169661539 -0.002107812558 -0.531613791339077 -0.454585555316585 -0.738989535443077 -0.0439985647866769 -0.0710793373990769 0.0972164934812 -0.652982313272308 -0.626365902313846 -0.600057426024923 -0.0822547615077846 -0.0454675778138462 -0.0533210736067692 -0.546061323818462 -0.677740508809231 -0.527427830153046 -0.464828328290431 -0.483985523492615 -0.464828328290431 -0.483985523492615 -0.551501413381538 -0.503121613756923 -0.549297761113969 -0.578745437479077 -0.622029409886154 -0.6447551063528 -0.506234331821538 -0.392243736631077 -0.683785410030769 -0.506696113792031 -0.396856920247908 -0.694480953233846 -0.192345384752 0.0588684187836615 0.1122816283964 -0.549555046618154 -0.503719799026769 -0.720905456603077 -0.555459136631102 -0.437956848333538 -0.755781507236923 -0.0976809919051385 -0.305621474387385 -0.100607129717262 -0.536375648746769 -0.621330431289231 -0.508027008891077 -0.692053259296308 -0.633331032769231 -0.673039488593846 0.0285716964364308 -0.04318815596 0.0979608175252308 -0.474139578134277 -0.571090805624615 0.102562920840154 -0.495033297592308 -0.516938207312431 0.0829735755996923 -0.578504189366769 -0.656189186526769 0.102907426247938 -0.652158293221539 -0.660451075241015 0.0819662356212308
"7" 18 5 0.270269307717532 -0.0186978345843506 -0.111973116725974 -0.57747453241039 -0.545758257391234 -0.455766869919318 0.681349426168831 -0.0419353618892857 0.0349329727415617 -0.956452593198052 -0.954626060454545 -0.921837849902597 0.0830654281675325 0.00699436042094156 -0.00841283518905844 -0.615014918966721 -0.622945533047727 -0.663970059667792 -0.0513715701550649 -0.0637237140156818 0.0971783218971104 -0.688039781792208 -0.651953712779221 -0.663380106662338 -0.0949068806637208 -0.0416583560368506 -0.0609696137564286 -0.7016040574 -0.674554704827597 -0.750625301275974 -0.510866084831818 -0.509725830781916 -0.510866084831818 -0.509725830781916 -0.622630604563409 -0.550243356884416 -0.581980029720779 -0.599405028858766 -0.712961916064935 -0.657629454721104 -0.592945194311688 -0.563027872674026 -0.530395159320227 -0.572316105152922 -0.566384643042208 -0.460089436686396 -0.311610859914935 -0.0289697273672078 0.0162950449273052 -0.637386866412662 -0.641617712226851 -0.642084205924935 -0.626703641532467 -0.628510226368831 -0.684559301096753 -0.117161887025269 -0.238904061756169 -0.218170890919188 -0.644612132746753 -0.629900583869805 -0.655000822957792 -0.704776920207792 -0.670752464525974 -0.699024763061688 -0.133260811909156 -0.103219333868994 -0.084098982443539 -0.51761938125974 -0.582909345053247 -0.0111694230667338 -0.55306779296987 -0.550337576077273 0.108903608022532 -0.629159217401526 -0.651793298207792 -0.0336678412576981 -0.668541680818734 -0.668542443049351 0.063457265674513
"8" 20 4 0.270660776854093 -0.0184171415507117 -0.107380834459786 -0.583004736718505 -0.350013835996441 -0.500440339123132 0.647388696868327 0.0300535673083274 0.084396852435242 -0.954302105466192 -0.949194822537367 -0.924777048512456 0.0842670804360142 0.00169826178107473 -0.0191598410004982 -0.576057299000712 -0.45866664303274 -0.668786970271174 0.00341790129188612 -0.0925806454554448 0.0645006310174021 -0.656310036979359 -0.571617767659786 -0.511502419649822 -0.104862290068683 -0.0396955962253381 -0.0581734708935943 -0.675101511564057 -0.683525850288968 -0.696149124316726 -0.469101030174377 -0.554954171081139 -0.469101030174377 -0.554954171081139 -0.534457510348683 -0.564672707043416 -0.476652207420498 -0.58227495459395 -0.673937988967972 -0.716217931779359 -0.581880178385053 -0.375344132007117 -0.551748672919217 -0.585390898435943 -0.37936043747331 -0.514202262104982 -0.215646625779004 0.0266261749747331 0.0912050990111744 -0.591690653020641 -0.495836289163701 -0.644779616036655 -0.598617956233096 -0.456332017956584 -0.691845731042705 0.0200516011159431 -0.165424352617794 -0.0833640315270463 -0.601530324166548 -0.576657152141993 -0.52570085851363 -0.675345793185053 -0.57373484733274 -0.554058295022776 -0.116169452470107 -0.150850707753488 -0.043225605930427 -0.512729882074021 -0.652553293830605 0.147343973874128 -0.529453152696441 -0.618219081708185 0.270908558321352 -0.610758335550178 -0.63743593669573 -0.0217046405311349 -0.702471424719929 -0.756143874163701 0.223577441201779
"9" 24 6 0.270369359086806 -0.0209522286099896 -0.101088878269444 -0.55582926134375 -0.575568346497222 -0.506278942331806 0.670824126840278 -0.0472527664682639 0.104090809734132 -0.958781763263889 -0.949995826944444 -0.920352265420139 0.0839192009354167 0.00689421198052083 -0.00149652165277778 -0.578477686672569 -0.678569946545139 -0.721707087972222 -0.0703179029526736 -0.0731424920595833 0.109170148689375 -0.675878894583333 -0.670809830180556 -0.587357891874792 -0.0894056450431944 -0.0398788309940972 -0.0535434470457639 -0.761796514027778 -0.773490888854167 -0.744583913020833 -0.505136658599465 -0.553083699967569 -0.505136658599465 -0.553083699967569 -0.621593787661806 -0.608901876218056 -0.549953099142014 -0.662794444618056 -0.763039266423611 -0.786405735972222 -0.579474606005903 -0.609871833916667 -0.592244945547326 -0.548148156296875 -0.586499402677083 -0.501248520056181 -0.290253578953958 -0.0875337729291667 -0.0307075633914236 -0.621563407910069 -0.699356469465278 -0.70302318303125 -0.572959985921493 -0.678821481357639 -0.739247641284722 -0.217842494097222 -0.295471863459757 -0.288668158843403 -0.639467558274306 -0.684238385482639 -0.612478325316667 -0.690069675222222 -0.667511167184028 -0.619286909509722 -0.207584218445333 -0.24083030539875 -0.196299044342917 -0.553255547114583 -0.624484338155208 -0.00388940357673611 -0.609169773676736 -0.611756977427083 0.0997027735580903 -0.700694646319444 -0.697260740121528 -0.109817838323958 -0.7866565059375 -0.801561897361111 0.0919216850329861
"10" 1 1 0.276809578959184 -0.0179201923694218 -0.111445549461224 -0.537866551367347 -0.497888021495238 -0.614623848654932 0.642951050510204 -0.0738418705442177 0.0547619612298537 -0.965836988333333 -0.95458057037415 -0.938498237894558 0.0797467260612245 0.0128749101267347 -0.0116128625729592 -0.529493168629252 -0.540613738082279 -0.750812827064626 -0.018538240165034 -0.0847318325985476 0.0905467520688776 -0.67451163275068 -0.59142148624898 -0.59846708882517 -0.107816463419728 -0.042392813377381 -0.0553058442515646 -0.703442915238095 -0.768656364489796 -0.686978722908163 -0.502650691558027 -0.545469778726789 -0.502650691558027 -0.545469778726789 -0.577884555812139 -0.529692727409184 -0.522229315515646 -0.625166499889524 -0.734541227346939 -0.768959300272109 -0.532367559717687 -0.495102591956122 -0.655054372837415 -0.541219404070068 -0.532602373968776 -0.625670833817687 -0.156138606909694 0.095074318792517 0.150644476635927 -0.547346027412925 -0.555536741250578 -0.721794620259524 -0.553511609891871 -0.556539365959524 -0.779226861462585 -0.0311555371590136 -0.149714595045238 0.0118858268656463 -0.621010204992891 -0.64841778335034 -0.567816415395238 -0.693247347901361 -0.566044987261905 -0.646230478334014 -0.0664870316491837 -0.0867261274612245 -0.0502777441377551 -0.518844686009524 -0.633303511718027 0.173491655193537 -0.515536346085034 -0.553309044070646 0.163617279126905 -0.662030888676871 -0.666776461238095 0.0122484769489354 -0.767898917857143 -0.787295740340136 0.155797439196939
